basename,latitude,longitude,yaw_degree,pitch_degree,roll_degree,image_w,image_h,GSDH,GSDV,DateTimeOriginal,Timestamp_ms
DJI_20241128120025_0001,-13.7879621666667,-72.9504583333333,-123.2,-89.9,+0.00,5280,3956,0.5326561993264657,0.34076034979487846,2024:11:28 12:00:25,1732795225000
DJI_20241128120027_0002,-13.7879781666667,-72.95048225,57.1,-90.0,+180.00,5280,3956,0.5324429662602821,0.34062393652434403,2024:11:28 12:00:27,1732795227000
DJI_20241128120029_0003,-13.7879968055556,-72.9505130833333,57.1,-90.0,+180.00,5280,3956,0.534362063855934,0.34185165595915346,2024:11:28 12:00:29,1732795229000
DJI_20241128120031_0004,-13.7880151666667,-72.9505418888889,-122.9,-89.9,+0.00,5280,3956,0.5335802092799277,0.3413514739671941,2024:11:28 12:00:31,1732795231000
DJI_20241128120033_0005,-13.7880319444444,-72.9505690555556,-122.8,-89.9,+0.00,5280,3956,0.5336157481242917,0.3413742095122832,2024:11:28 12:00:33,1732795233000
DJI_20241128120035_0006,-13.7880496666667,-72.9505968333333,-123.0,-89.9,+0.00,5280,3956,0.5364233168290414,0.34317031757431915,2024:11:28 12:00:35,1732795235000
DJI_20241128120037_0007,-13.7880662777778,-72.9506237222222,57.0,-90.0,+180.00,5280,3956,0.5342554473228421,0.34178344932388627,2024:11:28 12:00:37,1732795237000
DJI_20241128120039_0008,-13.7880838333333,-72.9506500277778,57.2,-90.0,+180.00,5280,3956,0.5331892819919246,0.3411013829712144,2024:11:28 12:00:39,1732795239000
DJI_20241128120042_0009,-13.7881011111111,-72.9506766666667,-122.9,-89.9,+0.00,5280,3956,0.5324429662602821,0.34062393652434403,2024:11:28 12:00:42,1732795242000
DJI_20241128120044_0010,-13.7881173333333,-72.9507025,57.3,-90.0,+180.00,5280,3956,0.5328338935482854,0.34087402752032375,2024:11:28 12:00:44,1732795244000
DJI_20241128120046_0011,-13.7881331944444,-72.9507301111111,57.2,-90.0,+180.00,5280,3956,0.5330115877701049,0.3409877052457691,2024:11:28 12:00:46,1732795246000
DJI_20241128120048_0012,-13.7881505,-72.9507553055556,57.2,-90.0,+180.00,5280,3956,0.5324074274159182,0.340601200979255,2024:11:28 12:00:48,1732795248000
DJI_20241128120050_0013,-13.7881669722222,-72.9507822777778,-122.6,-89.9,+0.00,5280,3956,0.5351083795875764,0.3423291024060239,2024:11:28 12:00:50,1732795250000
DJI_20241128120052_0014,-13.7881851111111,-72.9508086388889,57.2,-90.0,+180.00,5280,3956,0.5328694323926494,0.3408967630654129,2024:11:28 12:00:52,1732795252000
DJI_20241128120054_0015,-13.7882021111111,-72.9508359166667,57.1,-90.0,+180.00,5280,3956,0.5324074274159182,0.340601200979255,2024:11:28 12:00:54,1732795254000
DJI_20241128120057_0016,-13.7882178888889,-72.95086425,-122.8,-89.9,+0.00,5280,3956,0.5331537431475607,0.34107864742612537,2024:11:28 12:00:57,1732795257000
DJI_20241128120059_0017,-13.7882351388889,-72.9508911666667,-122.7,-89.9,+0.00,5280,3956,0.5332248208362884,0.3411241185163035,2024:11:28 12:00:59,1732795259000
DJI_20241128120101_0018,-13.788252,-72.9509186666667,57.3,-90.0,+180.00,5280,3956,0.535286073809396,0.34244278013146917,2024:11:28 12:01:01,1732795261000
DJI_20241128120103_0019,-13.7882691111111,-72.9509451111111,57.2,-90.0,+180.00,5280,3956,0.5334025150581081,0.3412377962417488,2024:11:28 12:01:03,1732795263000
DJI_20241128120105_0020,-13.7882856666667,-72.9509713611111,57.0,-90.0,+180.00,5280,3956,0.5318743447504594,0.34026016780291907,2024:11:28 12:01:05,1732795265000
DJI_20241128120107_0021,-13.788302,-72.9509978888889,57.1,-90.0,+180.00,5280,3956,0.5341132919453866,0.34169250714353006,2024:11:28 12:01:07,1732795267000
DJI_20241128120109_0022,-13.7883186111111,-72.9510256111111,-123.2,-89.9,+0.00,5280,3956,0.5337934423461113,0.34148788723772844,2024:11:28 12:01:09,1732795269000
DJI_20241128120112_0023,-13.7883358055556,-72.9510526944444,-123.1,-89.9,+0.00,5280,3956,0.5355703845643074,0.34262466449218165,2024:11:28 12:01:12,1732795272000
DJI_20241128120114_0024,-13.7883528055556,-72.9510795555556,-122.9,-89.9,+0.00,5280,3956,0.5312701843962728,0.339873663536405,2024:11:28 12:01:14,1732795274000
DJI_20241128120116_0025,-13.78836975,-72.9511061111111,57.1,-90.0,+180.00,5280,3956,0.5289601595126179,0.33839585310561593,2024:11:28 12:01:16,1732795276000
DJI_20241128120118_0026,-13.7883854444444,-72.9511318611111,-122.7,-89.9,+0.00,5280,3956,0.535250534965032,0.3424200445863801,2024:11:28 12:01:18,1732795278000
DJI_20241128120120_0027,-13.7884016388889,-72.9511584166667,-122.7,-89.9,+0.00,5280,3956,0.5330115877701049,0.3409877052457691,2024:11:28 12:01:20,1732795280000
DJI_20241128120122_0028,-13.7884192222222,-72.9511846388889,-122.7,-89.9,+0.00,5280,3956,0.5318743447504594,0.34026016780291907,2024:11:28 12:01:22,1732795282000
DJI_20241128120124_0029,-13.7884357222222,-72.9512100277778,-122.7,-89.9,+0.00,5280,3956,0.5327983547039213,0.3408512919752347,2024:11:28 12:01:24,1732795284000
DJI_20241128120127_0030,-13.7884531944444,-72.9512363888889,57.2,-90.0,+180.00,5280,3956,0.5313412620850007,0.3399191346265832,2024:11:28 12:01:27,1732795287000
DJI_20241128120129_0031,-13.7884774722222,-72.9512382777778,-29.6,-90.0,+180.00,5280,3956,0.5397639681992501,0.3453074588126911,2024:11:28 12:01:29,1732795289000
DJI_20241128120131_0032,-13.7884830555556,-72.9512130277778,-111.1,-90.0,+180.00,5280,3956,0.5280716884035198,0.33782746447838935,2024:11:28 12:01:31,1732795291000
DJI_20241128120133_0033,-13.7884669444444,-72.9511864722222,-122.7,-90.0,+180.00,5280,3956,0.5249442700994946,0.3358267365105518,2024:11:28 12:01:33,1732795293000
DJI_20241128120135_0034,-13.78845025,-72.9511623888889,-122.8,-90.0,+180.00,5280,3956,0.5284981545358869,0.3381002910194581,2024:11:28 12:01:35,1732795295000
DJI_20241128120137_0035,-13.7884333888889,-72.9511352777778,-122.9,-90.0,+180.00,5280,3956,0.5319809612835511,0.3403283744381862,2024:11:28 12:01:37,1732795297000
DJI_20241128120139_0036,-13.78841675,-72.9511083333333,57.1,-89.9,+0.00,5280,3956,0.531590033995548,0.3400782834422066,2024:11:28 12:01:39,1732795299000
DJI_20241128120142_0037,-13.7884009444444,-72.9510827222222,-122.9,-90.0,+180.00,5280,3956,0.5309503347969975,0.33966904363060346,2024:11:28 12:01:42,1732795302000
DJI_20241128120144_0038,-13.7883847222222,-72.9510563333333,-122.9,-90.0,+180.00,5280,3956,0.5366720887395889,0.34332946638994266,2024:11:28 12:01:44,1732795304000
DJI_20241128120146_0039,-13.7883681111111,-72.9510305277778,57.1,-89.9,+0.00,5280,3956,0.5345397580777537,0.34196533368459886,2024:11:28 12:01:46,1732795306000
DJI_20241128120148_0040,-13.7883515833333,-72.9510051388889,-122.9,-90.0,+180.00,5280,3956,0.5324429662602821,0.34062393652434403,2024:11:28 12:01:48,1732795308000
DJI_20241128120150_0041,-13.7883350555556,-72.9509786111111,57.1,-89.9,+0.00,5280,3956,0.5312701843962728,0.339873663536405,2024:11:28 12:01:50,1732795310000
DJI_20241128120152_0042,-13.7883191666667,-72.9509516388889,57.1,-89.9,+0.00,5280,3956,0.5326561993264657,0.34076034979487846,2024:11:28 12:01:52,1732795312000
DJI_20241128120154_0043,-13.7883038611111,-72.9509273333333,-122.9,-90.0,+180.00,5280,3956,0.5335446704355638,0.34132873842210504,2024:11:28 12:01:54,1732795314000
DJI_20241128120157_0044,-13.7882871388889,-72.9509005277778,-123.0,-90.0,+180.00,5280,3956,0.5353571514981239,0.34248825122164733,2024:11:28 12:01:57,1732795317000
DJI_20241128120159_0045,-13.7882699166667,-72.9508741388889,-122.9,-90.0,+180.00,5280,3956,0.5316611116842759,0.34012375453238475,2024:11:28 12:01:59,1732795319000
DJI_20241128120201_0046,-13.7882527222222,-72.9508476388889,-122.9,-90.0,+180.00,5280,3956,0.533438053902472,0.34126053178683785,2024:11:28 12:02:01,1732795321000
DJI_20241128120203_0047,-13.7882358333333,-72.9508205833333,57.0,-89.9,+0.00,5280,3956,0.5312346455519088,0.33985092799131594,2024:11:28 12:02:03,1732795323000
DJI_20241128120205_0048,-13.7882170277778,-72.9507928333333,57.1,-89.9,+0.00,5280,3956,0.5276807611155168,0.3375773734824097,2024:11:28 12:02:05,1732795325000
DJI_20241128120207_0049,-13.7882015833333,-72.9507678888889,-122.9,-90.0,+180.00,5280,3956,0.5356414622530351,0.3426701355823597,2024:11:28 12:02:07,1732795327000
DJI_20241128120209_0050,-13.7881848611111,-72.9507407222222,-122.9,-90.0,+180.00,5280,3956,0.5324074274159182,0.340601200979255,2024:11:28 12:02:09,1732795329000
DJI_20241128120212_0051,-13.78816775,-72.9507134444444,57.1,-89.9,+0.00,5280,3956,0.5298841694660797,0.3389869772779316,2024:11:28 12:02:12,1732795332000
DJI_20241128120214_0052,-13.7881503055556,-72.9506863611111,-122.9,-90.0,+180.00,5280,3956,0.5322652720384626,0.3405102587988988,2024:11:28 12:02:14,1732795334000
DJI_20241128120216_0053,-13.7881333888889,-72.9506595277778,-122.9,-90.0,+180.00,5280,3956,0.5345752969221175,0.3419880692296879,2024:11:28 12:02:16,1732795336000
DJI_20241128120218_0054,-13.7881170833333,-72.9506341111111,-122.9,-90.0,+180.00,5280,3956,0.5325495827933739,0.34069214315961127,2024:11:28 12:02:18,1732795338000
DJI_20241128120220_0055,-13.7881014444444,-72.9506090277778,-122.9,-90.0,+180.00,5280,3956,0.5317677282173676,0.3401919611676519,2024:11:28 12:02:20,1732795340000
DJI_20241128120222_0056,-13.7880853055556,-72.9505821388889,-122.9,-90.0,+180.00,5280,3956,0.5361390060741301,0.34298843321360667,2024:11:28 12:02:22,1732795342000
DJI_20241128120224_0057,-13.7880687777778,-72.95055475,-122.9,-90.0,+180.00,5280,3956,0.531625572839912,0.3401010189872956,2024:11:28 12:02:24,1732795344000
DJI_20241128120227_0058,-13.7880526388889,-72.9505292222222,57.1,-89.9,+0.00,5280,3956,0.5309147959526336,0.3396463080855144,2024:11:28 12:02:27,1732795347000
DJI_20241128120229_0059,-13.7880355833333,-72.9505043611111,-122.9,-90.0,+180.00,5280,3956,0.5333314373693803,0.3411923251515707,2024:11:28 12:02:29,1732795349000
DJI_20241128120231_0060,-13.7880205833333,-72.9504765555556,-123.0,-90.0,+180.00,5280,3956,0.536210083762858,0.3430339043037848,2024:11:28 12:02:31,1732795351000
DJI_20241128120233_0061,-13.7880058333333,-72.9504497222222,-122.9,-90.0,+180.00,5280,3956,0.5270410619169661,0.3371681336708065,2024:11:28 12:02:33,1732795353000
DJI_20241128120235_0062,-13.7880256388889,-72.9504293611111,-27.9,-90.0,+180.00,5280,3956,0.5473337420487656,0.35015012991666156,2024:11:28 12:02:35,1732795355000
DJI_20241128120237_0063,-13.7880505,-72.9504448611111,-125.1,-89.9,+0.00,5280,3956,0.5316611116842759,0.34012375453238475,2024:11:28 12:02:37,1732795357000
DJI_20241128120239_0064,-13.7880701388889,-72.9504735277778,-123.1,-89.9,+0.00,5280,3956,0.5321586555053709,0.3404420521636316,2024:11:28 12:02:39,1732795359000
